mdS0_approx,mdgrate_approx
2.8684695119820285,4.935994252946351
2.668532965022139,4.73394814015356
2.5274661276967225,4.590787268120273
2.418646889068238,4.479888982217244
2.3302178066759867,4.389396237186693
2.2447817884126158,4.310256253462453
2.1917783094738508,4.2468749579925005
2.1019024537166966,4.180338352063463
2.0855288469593805,4.1365982450374235
1.989654292311911,4.077041246815987
1.9996128680342813,4.046715990397415
1.9293072091628645,3.9992177602804007
1.91708019880793,3.968275677846574
1.8957729294637065,3.937024973404353
1.8660435108242859,3.9053715937829216
1.8278062965794692,3.8730881123396776
1.7802281647295244,3.839816188551135
1.7216180978466151,3.8049781411014734
1.7644905986912942,3.7962573016633088
