α,β,S₀,lab,tpeak,md
0.2,0.3,0.1,peak-intensity,1.4999794708639037e-15,0.0
0.2,0.3,0.1,growth-rate,1.4999794708639037e-15,0.0
0.2,0.3,0.1,outbreak-size,1.4999794708639037e-15,0.0
0.2,0.3,0.1,S₀,1.4999794708639037e-15,0.0
0.2,0.3,0.1,α,1.4999794708639037e-15,0.0
0.2,0.3,0.1,β,1.4999794708639037e-15,0.0
0.2,0.3,0.1,rep-number,1.4999794708639037e-15,0.0
0.2,0.3,0.3,peak-intensity,3.926997237148782e-15,0.0
0.2,0.3,0.3,growth-rate,3.926997237148782e-15,0.0
0.2,0.3,0.3,outbreak-size,3.926997237148782e-15,0.0
0.2,0.3,0.3,S₀,3.926997237148782e-15,0.0
0.2,0.3,0.3,α,3.926997237148782e-15,0.0
0.2,0.3,0.3,β,3.926997237148782e-15,0.0
0.2,0.3,0.3,rep-number,3.926997237148782e-15,0.0
0.2,0.3,0.5,peak-intensity,3.926997237148782e-15,0.0
0.2,0.3,0.5,growth-rate,3.926997237148782e-15,0.0
0.2,0.3,0.5,outbreak-size,3.926997237148782e-15,0.0
0.2,0.3,0.5,S₀,3.926997237148782e-15,0.0
0.2,0.3,0.5,α,3.926997237148782e-15,0.0
0.2,0.3,0.5,β,3.926997237148782e-15,0.0
0.2,0.3,0.5,rep-number,3.926997237148782e-15,0.0
0.2,0.3,0.7,peak-intensity,15.439879301250599,2.7537076
0.2,0.3,0.7,growth-rate,15.439879301250599,2.5058942
0.2,0.3,0.7,outbreak-size,15.439879301250599,2.2380745
0.2,0.3,0.7,S₀,15.439879301250599,-0.09785258
0.2,0.3,0.7,α,15.439879301250599,0.44007933
0.2,0.3,0.7,β,15.439879301250599,0.06707245
0.2,0.3,0.7,rep-number,15.439879301250599,0.26577005
0.2,0.3,0.9,peak-intensity,29.999999548435255,2.882345
0.2,0.3,0.9,growth-rate,29.999999548435255,3.3691866
0.2,0.3,0.9,outbreak-size,29.999999548435255,0.1841572
0.2,0.3,0.9,S₀,29.999999548435255,-0.91442287
0.2,0.3,0.9,α,29.999999548435255,0.7615461
0.2,0.3,0.9,β,29.999999548435255,NaN
0.2,0.3,0.9,rep-number,29.999999548435255,-0.404356
0.2,0.5,0.1,peak-intensity,1.4999794708639037e-15,0.0
0.2,0.5,0.1,growth-rate,1.4999794708639037e-15,0.0
0.2,0.5,0.1,outbreak-size,1.4999794708639037e-15,0.0
0.2,0.5,0.1,S₀,1.4999794708639037e-15,0.0
0.2,0.5,0.1,α,1.4999794708639037e-15,0.0
0.2,0.5,0.1,β,1.4999794708639037e-15,0.0
0.2,0.5,0.1,rep-number,1.4999794708639037e-15,0.0
0.2,0.5,0.3,peak-intensity,3.926997237148782e-15,0.0
0.2,0.5,0.3,growth-rate,3.926997237148782e-15,0.0
0.2,0.5,0.3,outbreak-size,3.926997237148782e-15,0.0
0.2,0.5,0.3,S₀,3.926997237148782e-15,0.0
0.2,0.5,0.3,α,3.926997237148782e-15,0.0
0.2,0.5,0.3,β,3.926997237148782e-15,0.0
0.2,0.5,0.3,rep-number,3.926997237148782e-15,0.0
0.2,0.5,0.5,peak-intensity,26.994153743922336,3.365219
0.2,0.5,0.5,growth-rate,26.994153743922336,3.1919224
0.2,0.5,0.5,outbreak-size,26.994153743922336,2.0002618
0.2,0.5,0.5,S₀,26.994153743922336,-0.012190946
0.2,0.5,0.5,α,26.994153743922336,1.0146401
0.2,0.5,0.5,β,26.994153743922336,0.6765653
0.2,0.5,0.5,rep-number,26.994153743922336,0.06258684
0.2,0.5,0.7,peak-intensity,23.314665901885373,3.170196
0.2,0.5,0.7,growth-rate,23.314665901885373,3.256429
0.2,0.5,0.7,outbreak-size,23.314665901885373,1.2962453
0.2,0.5,0.7,S₀,23.314665901885373,-0.04616148
0.2,0.5,0.7,α,23.314665901885373,1.1779362
0.2,0.5,0.7,β,23.314665901885373,1.0672057
0.2,0.5,0.7,rep-number,23.314665901885373,0.1769315
0.2,0.5,0.9,peak-intensity,18.15534849215486,3.146859
0.2,0.5,0.9,growth-rate,18.15534849215486,3.4645839
0.2,0.5,0.9,outbreak-size,18.15534849215486,1.4241976
0.2,0.5,0.9,S₀,18.15534849215486,0.010312213
0.2,0.5,0.9,α,18.15534849215486,1.154109
0.2,0.5,0.9,β,18.15534849215486,1.1554495
0.2,0.5,0.9,rep-number,18.15534849215486,0.39791662
0.2,0.7,0.1,peak-intensity,1.4999794708639037e-15,0.0
0.2,0.7,0.1,growth-rate,1.4999794708639037e-15,0.0
0.2,0.7,0.1,outbreak-size,1.4999794708639037e-15,0.0
0.2,0.7,0.1,S₀,1.4999794708639037e-15,0.0
0.2,0.7,0.1,α,1.4999794708639037e-15,0.0
0.2,0.7,0.1,β,1.4999794708639037e-15,0.0
0.2,0.7,0.1,rep-number,1.4999794708639037e-15,0.0
0.2,0.7,0.3,peak-intensity,6.813405111485082,2.2074442
0.2,0.7,0.3,growth-rate,6.813405111485082,2.1810617
0.2,0.7,0.3,outbreak-size,6.813405111485082,1.8663815
0.2,0.7,0.3,S₀,6.813405111485082,0.15766805
0.2,0.7,0.3,α,6.813405111485082,0.3658317
0.2,0.7,0.3,β,6.813405111485082,0.1717616
0.2,0.7,0.3,rep-number,6.813405111485082,0.17870073
0.2,0.7,0.5,peak-intensity,20.8137713578362,3.186281
0.2,0.7,0.5,growth-rate,20.8137713578362,3.1016517
0.2,0.7,0.5,outbreak-size,20.8137713578362,1.4406719
0.2,0.7,0.5,S₀,20.8137713578362,0.056808848
0.2,0.7,0.5,α,20.8137713578362,1.1488107
0.2,0.7,0.5,β,20.8137713578362,0.5327884
0.2,0.7,0.5,rep-number,20.8137713578362,0.38519296
0.2,0.7,0.7,peak-intensity,15.408541408061279,3.247751
0.2,0.7,0.7,growth-rate,15.408541408061279,3.3740735
0.2,0.7,0.7,outbreak-size,15.408541408061279,1.2624449
0.2,0.7,0.7,S₀,15.408541408061279,0.0060752654
0.2,0.7,0.7,α,15.408541408061279,1.2352363
0.2,0.7,0.7,β,15.408541408061279,0.9409032
0.2,0.7,0.7,rep-number,15.408541408061279,0.56320864
0.2,0.7,0.9,peak-intensity,12.21571562443287,3.654868
0.2,0.7,0.9,growth-rate,12.21571562443287,3.7498868
0.2,0.7,0.9,outbreak-size,12.21571562443287,1.7634176
0.2,0.7,0.9,S₀,12.21571562443287,0.32638124
0.2,0.7,0.9,α,12.21571562443287,1.4207433
0.2,0.7,0.9,β,12.21571562443287,1.3658646
0.2,0.7,0.9,rep-number,12.21571562443287,0.8842434
0.2,0.9,0.1,peak-intensity,3.926997237148782e-15,0.0
0.2,0.9,0.1,growth-rate,3.926997237148782e-15,0.0
0.2,0.9,0.1,outbreak-size,3.926997237148782e-15,0.0
0.2,0.9,0.1,S₀,3.926997237148782e-15,0.0
0.2,0.9,0.1,α,3.926997237148782e-15,0.0
0.2,0.9,0.1,β,3.926997237148782e-15,0.0
0.2,0.9,0.1,rep-number,3.926997237148782e-15,0.0
0.2,0.9,0.3,peak-intensity,19.90252602138893,3.1883402
0.2,0.9,0.3,growth-rate,19.90252602138893,2.8220735
0.2,0.9,0.3,outbreak-size,19.90252602138893,1.8503512
0.2,0.9,0.3,S₀,19.90252602138893,0.34256327
0.2,0.9,0.3,α,19.90252602138893,0.67697567
0.2,0.9,0.3,β,19.90252602138893,0.097266704
0.2,0.9,0.3,rep-number,19.90252602138893,0.4951584
0.2,0.9,0.5,peak-intensity,15.55786311497386,3.2260413
0.2,0.9,0.5,growth-rate,15.55786311497386,3.202657
0.2,0.9,0.5,outbreak-size,15.55786311497386,1.28899
0.2,0.9,0.5,S₀,15.55786311497386,0.26498833
0.2,0.9,0.5,α,15.55786311497386,1.0894339
0.2,0.9,0.5,β,15.55786311497386,0.40896127
0.2,0.9,0.5,rep-number,15.55786311497386,0.64283407
0.2,0.9,0.7,peak-intensity,11.582718273196958,3.4069653
0.2,0.9,0.7,growth-rate,11.582718273196958,3.5050128
0.2,0.9,0.7,outbreak-size,11.582718273196958,1.2050902
0.2,0.9,0.7,S₀,11.582718273196958,0.18852969
0.2,0.9,0.7,α,11.582718273196958,1.1594082
0.2,0.9,0.7,β,11.582718273196958,0.7225794
0.2,0.9,0.7,rep-number,11.582718273196958,0.65489024
0.2,0.9,0.9,peak-intensity,9.291169617056093,3.8669186
0.2,0.9,0.9,growth-rate,9.291169617056093,3.9997265
0.2,0.9,0.9,outbreak-size,9.291169617056093,1.9153656
0.2,0.9,0.9,S₀,9.291169617056093,0.5516085
0.2,0.9,0.9,α,9.291169617056093,1.3964785
0.2,0.9,0.9,β,9.291169617056093,1.2794659
0.2,0.9,0.9,rep-number,9.291169617056093,1.2626718
0.2,1.1,0.1,peak-intensity,2.4270177662848786e-15,0.0
0.2,1.1,0.1,growth-rate,2.4270177662848786e-15,0.0
0.2,1.1,0.1,outbreak-size,2.4270177662848786e-15,0.0
0.2,1.1,0.1,S₀,2.4270177662848786e-15,0.0
0.2,1.1,0.1,α,2.4270177662848786e-15,0.0
0.2,1.1,0.1,β,2.4270177662848786e-15,0.0
0.2,1.1,0.1,rep-number,2.4270177662848786e-15,0.0
0.2,1.1,0.3,peak-intensity,17.949440869079282,3.0915346
0.2,1.1,0.3,growth-rate,17.949440869079282,2.7027936
0.2,1.1,0.3,outbreak-size,17.949440869079282,1.6143562
0.2,1.1,0.3,S₀,17.949440869079282,0.37517723
0.2,1.1,0.3,α,17.949440869079282,0.72856593
0.2,1.1,0.3,β,17.949440869079282,-0.17942123
0.2,1.1,0.3,rep-number,17.949440869079282,0.5884328
0.2,1.1,0.5,peak-intensity,12.419411945307031,3.3186295
0.2,1.1,0.5,growth-rate,12.419411945307031,3.334632
0.2,1.1,0.5,outbreak-size,12.419411945307031,1.3922378
0.2,1.1,0.5,S₀,12.419411945307031,0.48497576
0.2,1.1,0.5,α,12.419411945307031,1.0445186
0.2,1.1,0.5,β,12.419411945307031,0.44312137
0.2,1.1,0.5,rep-number,12.419411945307031,0.8072694
0.2,1.1,0.7,peak-intensity,9.331726951527266,3.6310608
0.2,1.1,0.7,growth-rate,9.331726951527266,3.8928847
0.2,1.1,0.7,outbreak-size,9.331726951527266,1.49049
0.2,1.1,0.7,S₀,9.331726951527266,0.6006341
0.2,1.1,0.7,α,9.331726951527266,1.2614273
0.2,1.1,0.7,β,9.331726951527266,0.84332114
0.2,1.1,0.7,rep-number,9.331726951527266,1.0880145
0.2,1.1,0.9,peak-intensity,7.540193778585686,3.9958026
0.2,1.1,0.9,growth-rate,7.540193778585686,4.4219804
0.2,1.1,0.9,outbreak-size,7.540193778585686,2.121068
0.2,1.1,0.9,S₀,7.540193778585686,0.7867899
0.2,1.1,0.9,α,7.540193778585686,1.4361638
0.2,1.1,0.9,β,7.540193778585686,1.2179786
0.2,1.1,0.9,rep-number,7.540193778585686,1.4429463
0.2,1.3,0.1,peak-intensity,2.298904224744975e-15,0.0
0.2,1.3,0.1,growth-rate,2.298904224744975e-15,0.0
0.2,1.3,0.1,outbreak-size,2.298904224744975e-15,0.0
0.2,1.3,0.1,S₀,2.298904224744975e-15,0.0
0.2,1.3,0.1,α,2.298904224744975e-15,0.0
0.2,1.3,0.1,β,2.298904224744975e-15,0.0
0.2,1.3,0.1,rep-number,2.298904224744975e-15,0.0
0.2,1.3,0.3,peak-intensity,15.335216468184486,3.0474691
0.2,1.3,0.3,growth-rate,15.335216468184486,2.731218
0.2,1.3,0.3,outbreak-size,15.335216468184486,1.4220239
0.2,1.3,0.3,S₀,15.335216468184486,0.23588322
0.2,1.3,0.3,α,15.335216468184486,0.57996786
0.2,1.3,0.3,β,15.335216468184486,-0.17054999
0.2,1.3,0.3,rep-number,15.335216468184486,0.5959284
0.2,1.3,0.5,peak-intensity,10.367064220824421,3.330029
0.2,1.3,0.5,growth-rate,10.367064220824421,3.4271193
0.2,1.3,0.5,outbreak-size,10.367064220824421,1.4221606
0.2,1.3,0.5,S₀,10.367064220824421,0.5953216
0.2,1.3,0.5,α,10.367064220824421,0.94456106
0.2,1.3,0.5,β,10.367064220824421,0.43491918
0.2,1.3,0.5,rep-number,10.367064220824421,1.0293007
0.2,1.3,0.7,peak-intensity,7.84365732977889,3.6430495
0.2,1.3,0.7,growth-rate,7.84365732977889,4.0432677
0.2,1.3,0.7,outbreak-size,7.84365732977889,1.6203213
0.2,1.3,0.7,S₀,7.84365732977889,0.76788735
0.2,1.3,0.7,α,7.84365732977889,1.3156862
0.2,1.3,0.7,β,7.84365732977889,0.8903013
0.2,1.3,0.7,rep-number,7.84365732977889,1.391766
0.2,1.3,0.9,peak-intensity,6.369262950724979,3.929806
0.2,1.3,0.9,growth-rate,6.369262950724979,4.869709
0.2,1.3,0.9,outbreak-size,6.369262950724979,2.28274
0.2,1.3,0.9,S₀,6.369262950724979,1.0459586
0.2,1.3,0.9,α,6.369262950724979,1.6325233
0.2,1.3,0.9,β,6.369262950724979,1.3102919
0.2,1.3,0.9,rep-number,6.369262950724979,1.7802595
0.2,1.5,0.1,peak-intensity,3.926997237148782e-15,0.0
0.2,1.5,0.1,growth-rate,3.926997237148782e-15,0.0
0.2,1.5,0.1,outbreak-size,3.926997237148782e-15,0.0
0.2,1.5,0.1,S₀,3.926997237148782e-15,0.0
0.2,1.5,0.1,α,3.926997237148782e-15,0.0
0.2,1.5,0.1,β,3.926997237148782e-15,0.0
0.2,1.5,0.1,rep-number,3.926997237148782e-15,0.0
0.2,1.5,0.3,peak-intensity,13.2496292899547,2.989421
0.2,1.5,0.3,growth-rate,13.2496292899547,2.6804483
0.2,1.5,0.3,outbreak-size,13.2496292899547,0.69992805
0.2,1.5,0.3,S₀,13.2496292899547,-0.3035778
0.2,1.5,0.3,α,13.2496292899547,0.15218303
0.2,1.5,0.3,β,13.2496292899547,-0.23929626
0.2,1.5,0.3,rep-number,13.2496292899547,0.039386723
0.2,1.5,0.5,peak-intensity,8.92148720205594,3.357641
0.2,1.5,0.5,growth-rate,8.92148720205594,3.4971335
0.2,1.5,0.5,outbreak-size,8.92148720205594,0.6601492
0.2,1.5,0.5,S₀,8.92148720205594,-0.12134789
0.2,1.5,0.5,α,8.92148720205594,0.28946412
0.2,1.5,0.5,β,8.92148720205594,0.5019832
0.2,1.5,0.5,rep-number,8.92148720205594,0.4063952
0.2,1.5,0.7,peak-intensity,6.7829488249407905,3.7608666
0.2,1.5,0.7,growth-rate,6.7829488249407905,4.3632383
0.2,1.5,0.7,outbreak-size,6.7829488249407905,1.0640286
0.2,1.5,0.7,S₀,6.7829488249407905,0.27560645
0.2,1.5,0.7,α,6.7829488249407905,0.787549
0.2,1.5,0.7,β,6.7829488249407905,1.2385107
0.2,1.5,0.7,rep-number,6.7829488249407905,0.9767469
0.2,1.5,0.9,peak-intensity,5.527185382509943,4.227224
0.2,1.5,0.9,growth-rate,5.527185382509943,5.8745317
0.2,1.5,0.9,outbreak-size,5.527185382509943,1.6408406
0.2,1.5,0.9,S₀,5.527185382509943,1.3002601
0.2,1.5,0.9,α,5.527185382509943,1.7145973
0.2,1.5,0.9,β,5.527185382509943,2.4599552
0.2,1.5,0.9,rep-number,5.527185382509943,2.0676866
